title,metascore,user_score
Fargo: Season 3,89,8.3
White Collar: Season 1,79,8.9
Marvel's Luke Cage: Season 1,79,8
Life on Mars (UK): Season 2,79,8.6
The Carmichael Show: Season 3,79,6.8
Girls: Season 6,79,5.9
Mr. Robot: Season 1,79,8.7
The Walking Dead: Season 6,79,6.5
The West Wing: Season 1,79,8.1
The Haunting of Hill House: Season 1,79,8
Anne with an E: Season 1,79,7.9
Deutschland 83: Season 1,79,8.4
Wild Wild Country: Season 1,79,7.5
In Treatment: Season 2,85,8
George Carlin's American Dream: Season 1,85,7.6
Watchmen (2019): Season 1,85,5.9
Southland: Season 2,77,8.9
Pantheon: Season 1,77,5.8
Ozark: Season 3,77,8.4
Pretend It's a City,77,6.1
Boardwalk Empire: Season 4,77,8.6
Party of Five (2020): Season 1,77,5.7
The Adam Carolla Project: Season 4,77,9
The Boys: Season 3,77,6.9
The Man in the High Castle: Season 1,77,7.3
Entergalactic: Season 1,77,tbd
His Dark Materials: Season 3,77,6.2
The Real World: Season 2,77,tbd
Taxi: Season 1,77,8
Olive Kitteridge: Season 1,89,8.2
Rescue Me: Season 2,89,8.7
Battlestar Galactica (2003): Season 1,89,9.1
Justified: Season 6,89,8.6
A Parks and Recreation Special,89,7.5
24: Season 5,89,9.1
Arrested Development: Season 1,89,9.1
Curb Your Enthusiasm: Season 6,89,8.8
The Good Wife: Season 2,89,8.6
Dear White People (2017): Season 2,89,5.3
Broad City: Season 2,89,7.9
Mad Men: Season 5,89,8.8
Fraggle Rock: Back to the Rock: Season 1,89,6.9
Nurse Jackie: Season 3,79,7.1
Joan of Arcadia: Season 1,79,tbd
Mindhunter: Season 1,79,8.4
Togetherness: Season 1,79,7.5
Euphoria Special Episode Part 2: Jules,79,7.4
Vietnam in HD: Season 1,79,8.7
Roseanne: Season 1,79,7.5
Wonderland: Season 1,85,tbd
Mindhunter: Season 2,85,8.3
Six by Sondheim,85,7.3
American Crime: Season 1,85,7.5
Broadchurch: Season 3,85,7.1
What's My Name: Muhammad Ali,85,6.1
Julie and the Phantoms: Season 1,77,8.2
Aliens in America: Season 1,77,8
Homeland: Season 5,76,7.4
Bosch: Season 2,76,8.4
W/ Bob & David: Season 1,76,8.1
This Is Us: Season 1,76,7.4
Stonehouse: Season 1,76,tbd
House: Season 6,76,7.6
The Wire: Season 5,89,9.1
Veep: Season 6,88,8
Mind Over Murder: Season 1,88,tbd
Everybody Hates Chris: Season 1,88,8.2
Friday Night Lights: Season 2,88,8.3
Hannibal: Season 2,88,8.9
The Americans: Season 2,88,8.7
Boardwalk Empire: Season 1,88,8.6
The Roosevelts: An Intimate History: Season 1,88,8
Hacks: Season 2,88,8
Sherlock: Season 3,88,8.5
The Girlfriend Experience: Season 1,78,7.7
The Game (2014): Season 1,78,7.6
Crazy Ex-Girlfriend: Season 1,78,7.9
Doctor Who: Season 11,78,2.4
Escape At Dannemora: Season 1,78,7.8
Archer: Season 1,78,9
Boss: Season 1,78,8.1
The Keepers: Season 1,78,7.8
Yellowjackets: Season 1,78,7.4
"Dr. Katz, Professional Therapist: Season 1",78,tbd
Unbreakable Kimmy Schmidt: Season 3,78,7.1
Starstruck (2021): Season 1,78,7.3
Gideon's Crossing: Season 1,78,tbd
Patrick Melrose: Season 1,80,6
American Crime: Season 2,85,8.2
Wu-Tang Clan: Of Mics and Men: Season 1,85,5.7
For All Mankind: Season 3,84,5.3
The Crown: Season 3,84,8.2
Dear White People (2017): Season 1,84,2.5
A Very English Scandal: Season 1,84,6
What We Do in the Shadows (2019): Season 4,84,7.6
The Crime of the Century,84,7.3
The Good Lord Bird,84,6.4
On Becoming a God in Central Florida: Season 1,76,7.9
Fleabag: Season 1,88,8
Brooklyn Bridge: Season 1,88,tbd
The Bear: Season 1,88,7.4
Longford,88,7.7
Arrested Development: Season 2,88,9.1
Russian Doll: Season 1,88,7.8
Project Runway: Season 4,78,7.2
Search Party (2016): Season 3,78,8
John McCain: For Whom the Bell Tolls,78,5.6
Weeds: Season 2,78,8.1
Karen Pirie: Season 1,78,6.3
Chris Rock: Tamborine,78,4.3
Better Call Saul: Season 1,78,8.6
Ozark: Season 4,78,7.9
Manhattan: Season 1,78,7.8
Treme: Season 4,80,7.6
